client_name,address,zip
"Riverside Property Group","1334 LOUIS NINE BOULEVARD","10459"
"Kestrel Residential","737 EAST 219 STREET","10467"
"Halstead Bay Holdings","1260 CLAY AVENUE","10456"
"Northpoint Asset Partners","1025 BOYNTON AVENUE","10472"
"Grand Concourse Management","1120 FOX STREET","10459"
"Alder & Vine Properties","341 EAST 146 STREET","10451"
"Meridian Housing Partners","3435 OLINVILLE AVENUE","10467"
"Blue Harbor Realty Group","3805 REVIEW PLACE","10463"
"Sutton Field Management","10 RICHMAN PLAZA","10453"
"Ironwood Residential Trust","306 EAST 171 STREET","10457"
"Larchmont Property Co","2145 STARLING AVENUE","10462"
"Copperleaf Estates","1097 WALTON AVENUE","10452"
"Whitestone Ridge Partners","115 EAST MOSHOLU PARKWAY NORTH","10467"
"Marlow Street Holdings","2028 CROSS BRONX EXPRESSWAY","10472"
"Vantage Point Residential","3535 ROCHAMBEAU AVENUE","10467"
"Cedarbrook Property Group","937 SUMMIT AVENUE","10452"
"Fenwick Housing LLC","1522 BRYANT AVENUE","10460"
"Orchard Hill Management","1812 VYSE AVENUE","10460"
"Beacon & Pine Realty","809 ALLERTON AVENUE","10467"
"Stonebridge Residential","711 EAST 226 STREET","10466"
